name;year;genre;director;cast;rating;votes
Aag;1967;*Action, Drama*;Naresh Kumar;*Feroz Khan,Mumtaz,Achala Sachdev*;6.2;29
Aag;1994;*Action, Comedy, Drama*;K. Ravi Shankar;*Govinda,Shilpa Shetty Kundra,Sonali Bendre*;4.6;227
Aag Andhi Aur Toofan;1994;*Action, Thriller*;Kanti Shah;*Amit Dhamija,Mukesh Khanna,Kiran Kumar*;3.1;11
Aag aur Angaray;1990;*Action*;Vikaram Naroo;*Rakesh Bedi,Birbal,Gulshan Grover*;;
Aag Aur Chingari;1994;*Action*;Kanti Shah;*Alpana,Aparajita,Asrani*;4.1;13
Aag Aur Daag;1970;*Action, Comedy, Drama*;A. Salaam;*Joy Mukherjee,Poonam Sinha,Master Bhagwan*;3.7;14
Aag Aur Shabab;1990;*Thriller*;Ravi Kumar;*Madhuri,Captain Raju,*;;
Aag Aur Shola;1986;*Action, Drama, Romance*;K. Bapaiah;*Jeetendra,Sridevi,Mandakini*;4.1;42
Aag Aur Shola;2001;*Action*;Ravi Raja Pinisetty;*Kiran Rathod,Flora Saini,Raj Shekhar*;;
Aag Aur Tezaab;1998;*Action*;Israr Ahmed;*Jagdish Sidana,Satish Kaul,Kader Khan*;;
Aag Aur Toofan;1975;*Action, Drama, Thriller*;Tanvir Ahmed;*Mumtaz,Robin Kumar,Anwar Hussain*;;
Aag Hi Aag;1987;*Action*;Shibu Mitra;*Dharmendra,Shatrughan Sinha,Moushumi Chatterjee*;5.3;93
Aag Ka Dariya;1990;*Action*;S.V. Rajendra Singh Babu;*Avtar Gill,Rajiv Kapoor,Padmini Kolhapure*;4.2;22
Aag Ka Dariya;1953;*Drama, Family*;Roop K. Shorey;*Meena Shorey,Karan Dewan,Prithviraj Kapoor*;;
Aag Ka Gola;1990;*Action, Drama*;David Dhawan;*Sunny Deol,Dimple Kapadia,Archana Puran Singh*;4.8;101
Aag Ka Gola;2002;*Action*;Kishan Shah;*Junior Amitabh Bachchan,Junior Mithun Chakraborthy,Junior Sanjay Dutt*;;
Aag Ka Prem Yudh;2002;*Action*;Thriller Manju;*Rachana Maurya,Sanghavi,Upendra*;;
Aag Ka Toofaan;1993;*Action*;Kanti Shah;*Dharmendra,Sadashiv Amrapurkar,Asrani*;4.8;21
Aag Ke Sholay;1988;*Action, Thriller*;S.R. Pratap;*Bipasha,Hemant Birje,Sudhir Dalvi*;3.4;7
Aag Ke Sholay;2001;*Action*;Kanti Shah;*Anil Nagrath,Amit Pachori,Sapna Sappu*;;
Aag Laga Do Sawan Ko;1991;*Drama, Romance*;Anup Malik;*Reema Lagoo,Kuldeep Mallik,Harish Patel*;5.7;7
Aag Lagi Barsat Mein;1990;*Thriller*;Charanya;*Y.G. Mahendran,Silk Smitha,*;;
Aag Se Khelenge;1989;*Action*;Subhash Ghai;*Bhaskar Shetty,Jeetendra,Anil Kapoor*;5;52
Aagaah: The Warning;2011;*Drama, Horror, Thriller*;Karan Razdan;*Ila Arun,Anang Desai,Zakir Hussain*;3.6;23
Aage Badho;1947;*Drama*;Yeshwant Pethkar;*Dev Anand,Madhu Apte,Khurshid Begum*;6;6
Aage Badho;1972;*Romance*;I.S. Johar;*Dilip Dutt,Ambika Johar,Rajeev Kumar*;;
Aage Kadam;1943;**;N.R. Acharya;*Anjali Devi,Mubarak,Motilal*;;
Aage Ki Soch;1988;*Comedy*;Dada Kondke;*Shakti Kapoor,Huma Khan,Dada Kondke*;4.8;30
Aage Maut Peeche Maut;2001;*Horror*;A.T. Joy;*Lekha Pande,Vimal Raj,Shakila*;3.1;7
Aage Mod Hai;1987;**;Ajit;*Raja Bundela,Uday Chandra,Geeta Khanna*;;
Aagey Se Right;2009;*Comedy, Crime, Drama*;Indrajit Nattoji;*Shreyas Talpade,Mahie Gill,Karan Veer Mehra*;5;381
Aaghaat;2000;*Action*;Vijay Borade;*Zaffar Abbas,Mohnish Bahl,Meena Bisht*;;
Aaghaaz;2000;*Action, Crime, Drama*;Yogesh Ishwar;*Sunil Shetty,Sushmita Sen,Namrata Shirodkar*;4.2;274
Aaghosh;1953;*Drama, Romance*;R.D. Mathur;*Agha,Nasir Khan,Leela Mishra*;;
Aagman;1982;*Drama*;Muzaffar Ali;*Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria*;4.8;8
Aah;1953;*Drama, Musical, Romance*;Raja Nawathe;*Nargis,Raj Kapoor,Vijayalaxmi*;7.2;275
Aahat - Ek Ajeeb Kahani;1971;*Thriller*;Kishore Rege;*Jaya Bachchan,Ramesh Deo,Dharmendra*;6.4;10
Aah-E-Mazluman;1935;**;N.G. Bulchandani;*Abdul Rehman Kabuli,,*;;
Aahuti;1950;**;Kulbhushan;*Cuckoo,Indubala,Vikram Kapoor*;;
Aahuti;1978;*Action, Drama*;Ashok V. Bhushan;*Rajendra Kumar,Shashi Kapoor,Rakesh Roshan*;6;25
Aahuti;1992;*Drama*;Rajendra Bhatia;*Arun Bali,,*;;
Aahvaan;2020;*Comedy, Horror*;Amrit Raj Thakur;*Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha*;;
Aahwan;1996;*Action*;;*,,*;;
Aai Bahar;1946;**;;*,,*;;
Aai Phirse Bahar;1960;**;A. Bhimsingh;*Padmini,Shivaji Ganesan,Rajasulochana*;;
Aaina;1993;*Drama, Romance*;Deepak Sareen;*Jackie Shroff,Juhi Chawla,Amrita Singh*;6;448
Aaina;1977;*Drama*;K. Balachander;*Mumtaz,Rajesh Khanna,A.K. Hangal*;6.8;94
Aaina;1944;*Drama, Romance*;S.M. Yusuf;*Husn Banu,Sulochana Chatterjee,Gope*;3.2;5
Aaina;2019;*Horror*;Raja Bhargav;*Komal Bharti,Urmila Chandolia,Ankit Jha*;;
Aaiyash: The Desire;2004;*Drama, Romance*;Sandeep Kumar;*Akansha,Rakhi Bajaj,Amit Dhamija*;;
Aaj;1987;*Drama*;Mahesh Bhatt;*Raj Babbar,Smita Patil,Raj Kiran*;5.5;281
Aaj Aur Kal;1947;*Comedy, Sci-Fi*;Khwaja Ahmad Abbas;*Nayantara,Shyam,Rashid Ahmed*;4.1;8
Aaj Aur Kal;1963;*Drama, Romance*;Vasant Joglekar;*Ashok Kumar,Sunil Dutt,Nanda*;5.6;52
Aaj Jaana Hai Ke Pyaar Kya Ha;2004;*Romance*;Vikram Naaru;*Arun Bakshi,Bharat Kapoor,Shakti Kapoor*;;
Aaj Ka Aladdin;1935;**;Nagendra Majumdar;*,,*;6;5
Aaj Ka Andha Kanoon;2003;*Action*;Amit Chandra Sahay;*Sudesh Berry,Priyanka Upendra,Aman Jalali*;3.1;15
Aaj Ka Arjun;1990;*Action, Crime, Drama*;K.C. Bokadia;*Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar*;4.7;586
Aaj Ka Daur;1985;*Action, Drama*;K. Bapaiah;*Jackie Shroff,Padmini Kolhapure,Nirupa Roy*;5.1;40
Aaj Ka Farhad;1948;**;Balwant Joshi;*Zohra,,*;;
Aaj Ka Gang Leader;1993;*Action*;Kodanda Rami Reddy A.;*Bhanupriya,Chiranjeevi,Radha*;5.6;29
Aaj Ka Goonda Raaj;1992;*Action, Thriller*;Ravi Raja Pinisetty;*Chiranjeevi,Meenakshi Sheshadri,Raj Babbar*;5.3;144
Aaj Ka Gunda;2001;*Action, Thriller*;Kanti Shah;*Dharmendra,Mohan Joshi,Shakti Kapoor*;4.7;23
Aaj Ka Gunda;1992;*Action*;Ravi Raja Pinisetty;*Chiranjeevi,Radha,Vijayshanti*;;
Aaj Ka Gunda Raaj;2006;*Action*;Mahesh Anand;*Tanikella Bharani,Gulshan Grover,Milind Gunaji*;6;46
Aaj Ka Hindustan;1940;**;Jayant Desai;*Rose,Prithviraj Kapoor,Ishwarlal*;;
Aaj Ka Inteqaam;1991;*Thriller*;Rajni Bala;*Jainendra,Jamuna,Neela*;;
Aaj Ka Krantiveer;2004;*Action*;Jayasudha;*Nassar,Soundarya,Vijayakanth*;;
Aaj Ka Laawaris;2006;*Action*;Arjun Sarja;*Jagapathi Babu,Gajala,Vija Kumar*;5.7;17
Aaj Ka Mahaatma;1976;*Action, Romance*;Kundan Kumar;*Randhir Kapoor,Rekha,Ranjeet*;3.5;23
Aaj Ka Maseeha;1995;*Action*;Sahil Surti;*Rakesh Bedi,Brahmachari,Jamuna*;;
Aaj Ka Nanha Farishta;2000;*Action, Crime, Thriller*;Pratap Barot;*Ishrat Ali,Vikas Anand,Raj Babbar*;5.8;8
Aaj Ka Parshuram;1992;*Action*;Satya Murthy G.;*Nagendra,Disco Shanti,*;;
Aaj Ka Ravan;2000;*Action, Crime*;Kasam Ali;*Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan*;4.3;31
Aaj Ka Romeo;1995;*Action*;Pavithran;*Prabhu Deva,Sarath Kumar,Kushboo*;;
Aaj Ka Samson;1991;*Action, Romance*;Kukoo Kapoor;*Hemant Birje,Sahila Chaddha,Goga Kapoor*;3.1;14
Aaj Ka Shahen Shah;1997;*Action*;Kodanda Rami Reddy A.;*Bhanupriya,Chiranjeevi,Manik Irani*;;
Aaj Ka Ye Ghar;1976;*Drama*;Surendra Shailaj;*Jaymala Adarsh,Shreeram Lagoo,Romesh Sharma*;4.5;10
Aaj Kaa M.L.A. Ram Avtar;1984;*Action, Drama*;Narayana Rao Dasari;*Rajesh Khanna,Shabana Azmi,Deven Verma*;5.8;65
Aaj Kal;1934;**;R.S. Choudhury;*Jal Merchant,Shantakumari,*;;
Aaj Ke Angaarey;1988;*Action, Drama*;Babbar Subhash;*Vinod K. Verma,Hemant Birje,Archana Puran Singh*;5;26
Aaj Ke Shahenshah;1990;*Action*;Shibu Mitra;*Jeetendra,Raj Babbar,Chunky Panday*;3.3;15
Aaj Ke Sholey;1985;*Adventure*;S.V. Rajendra Singh Babu;*Jayanthi,Manjula,Amrish Puri*;5.3;37
Aaj Ki Awaz;1984;*Action, Drama, Crime*;Ravi Chopra;*Raj Babbar,Smita Patil,Rashmi Chauhan*;5.6;79
Aaj Ki Baat;1955;**;Leela Chitnis;*Ajit,Ajit Chitnis,Leela Chitnis*;;
Aaj Ki Biwi;1991;*Drama*;Ajay Kumar;*Vijay Kumar,Jaishree Patel,*;;
Aaj Ki Dhara;1979;*Drama*;Mukul Dutt;*Danny Denzongpa,Padma Khanna,Pradeep Kumar*;;
Aaj Ki Duniya;1940;*Drama*;G.P. Pawar;*Jeevan,Trilok Kapoor,Nazir*;;
Aaj Ki Jung;1988;*Action*;Kodanda Rami Reddy A.;*,,*;;
Aaj Ki Pukar;1976;*Drama*;;*,,*;;
Aaj Ki Raat;1948;**;D.D. Kashyap;*Motilal,Suraiya,Lala Yaqoob*;;
Aaj Ki Raat;1992;*Thriller*;Madhuri;*Pratap,Raghu,Ravi*;;
Aaj Ki Taaqat;1992;**;Anil Nagrath;*Jaya Mathur,Anil Nagrath,Sunil Puri*;;
Aaj Ki Taaza Khabar;1973;*Comedy*;Rajendra Bhatia;*Radha Saluja,Kiran Kumar,I.S. Johar*;7.3;88
Aaj Kie Aurat;1993;*Action, Drama*;Avtar Bhogal;*Jeetendra,Dimple Kapadia,Sujata Mehta*;3.8;14
Aaj Watan Ne Humen Pukara;1968;*Drama*;;*,,*;;
Aaja Mere Mehboob;1994;*Romance*;Rakesh Kakaria;*,,*;;
Aaja Mere Raja;2000;*Drama*;Pradeep Chandra;*Beena Banerjee,Amita Nangia,Moon Moon Sen*;;
Aaja Meri Bahon Mein;2002;*Romance*;;*,,*;;
Aaja Meri Jaan;1993;*Romance*;Ketan Anand;*Krishan Kumar,Tanya Singh,Shammi Kapoor*;4.4;30
Aaja Nachle;2007;*Drama, Family, Music*;Anil Mehta;*Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav*;6.2;"2;998"
Aaja Re O Sajana;1994;*Drama, Romance*;Tammu Hasan;*Neelima Azim,Bob Christo,Puneet Issar*;;
Aaja Sanam;1968;*Drama, Romance*;Yusuf Naqvi;*Feroz Khan,Tanuja,Deven Verma*;6.7;14
Aaja Sanam;1994;*Drama, Romance*;Mohnish Bahl;*Chandni,Kulbhushan Kharbanda,Ranbir Pushp*;3.3;7
Aakanksha;1993;*Drama*;Dinkar Chowdhary;*Om Puri,Pankaj Kapur,Sadashiv Amrapurkar*;;
Aakhet;;*Drama*;Ravi Buley;*Tanima Bhattacharya,Narottam Bain,Rajnikant Singh*;;
Aakhir;1984;*Comedy*;K.K. Talwar;*Jalal Agha,Kalpana Iyer,Jagdeep*;;
Aakhir Kaun Thi Woh?;2000;*Action, Mystery, Thriller*;Bapu;*Raj Babbar,Raza Murad,Sripradha*;4.4;5
Aakhir Kyon?;1985;*Drama*;J. Om Prakash;*Rajesh Khanna,Smita Patil,Rakesh Roshan*;6.6;158
Aakhree Raasta;1986;*Action, Crime, Drama*;Bhagyaraj;*Amitabh Bachchan,Sridevi,Jaya Prada*;7.1;"1;283"
Aakhri Adaalat;1988;*Action, Thriller*;Rajiv Mehra;*Vinod Khanna,Dimple Kapadia,Jackie Shroff*;5.2;78
Aakhri Baazi;1989;*Action, Drama, Family*;Ashim S. Samanta;*Shatrughan Sinha,Moushumi Chatterjee,Govinda*;4.1;53
Aakhri Badla;1989;*Action, Crime, Drama*;Mangal Chakravarty;*Tom Alter,Yogeeta Bali,Abhi Bhattacharya*;5;21
Aakhri Badla;2004;*Action*;Meena Amani;*Harikrishna,Rajeev Kanakala,Mumait Khan*;;
Aakhri Cheekh;1991;*Horror*;Kiran Ramsay;*Vijayendra Ghatge,Javed Khan,Sripradha*;4.8;47
Aakhri Chetawani;1993;**;Deva Dutta;*Bharat Bhushan,Sudha Chandran,Amita Nangia*;;
Aakhri Daao;1975;*Action, Crime, Drama*;A. Salaam;*Jeetendra,Saira Banu,Padma Khanna*;5.5;29
Aakhri Daku;1978;*Action*;Prakash Mehra;*Randhir Kapoor,Vinod Khanna,Rekha*;5.6;21
Aakhri Dao;1958;*Comedy*;Mahesh Kaul;*Nutan,Shekhar,Jeevan*;6.4;16
Aakhri Dastak;2004;*Drama*;Kishore Dang;*Aasif Sheikh,Preeti Bhutani,Raza Murad*;;
Aakhri Galti;1936;**;Kamlabai Gokhale;*,,*;;
Aakhri Geet;1975;**;G.V. Iyer;*G.V. Narayana Rao,Rekha,Krishna Swamy*;;
Aakhri Ghulam;1989;*Action, Crime, Drama*;Shibu Mitra;*Mithun Chakraborty,Sonam,Anupam Kher*;4.9;34
Aakhri Goli;1977;*Action*;Shibu Mitra;*Sunil Dutt,Leena Chandavarkar,Farida Jalal*;4.8;18
Aakhri Insaaf;1980;*Action, Mystery*;Kalidas;*Mithun Chakraborty,Vijayendra Ghatge,Ashok Kumar*;4.9;10
Aakhri Inteqam;2002;*Action*;Rajesh Bakshi;*Sudesh Berry,Anu Kashyap,Amit Pachori*;2.5;16
Aakhri Kasam;1979;*Action, Thriller*;Dinesh-Ramanesh;*Ramesh Puri,Vinod Mehra,Yogeeta Bali*;6.3;7
Aakhri Khat;1966;*Drama*;Chetan Anand;*Rajesh Khanna,Indrani Mukherjee,Master Bunty*;6.9;122
Aakhri Khwahish-Ek Gunah Ki;2003;*Thriller*;Amrit Batra;*Arun Bakshi,Ramesh Bhatkar,Dinesh Hingoo*;;
Aakhri Mohabbat;1994;*Romance*;Abhilasha;*Girish,Ravi Menon,Raghu*;;
Aakhri Mujra;1981;*Drama, Musical*;Hiren Nag;*Asha Parekh,Vikram Makandar,Zarina Wahab*;;
Aakhri Muqabla;1978;*Action*;;*,,*;;
Aakhri Nishan;1974;**;S.A. Ashokan;*Ram Chandran,Jyothi Lakshmi,*;;
Aakhri Nishchay;1988;*Drama*;K.C. Agarwal;*Ratan Aulakh,Anil Chadha,Sudhir Dalvi*;;
Aakhri Paigham;1949;**;Muzammil Khurshid;*Muzammil Khurshid,Leela Mishra,Niranjan Sharma*;;
Aakhri Raat;1999;*Thriller*;Papu Bahruz;*Sudhir Dalvi,Raj Devgan,Mushtaq Khan*;;
Aakhri Sajda;1977;*Drama*;Helen;*Jagdeep,Murad,Maya Sinha*;;
Aakhri Sangam;1990;*Action, Romance*;N.K. Vishwanathan;*Nassar,Nirosha,Aurn Pandian*;7.3;39
Aakhri Sanghursh;1997;*Action*;Narendra Bedi;*Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna*;2.8;17
Aakhri Sauda: The Last Deal;2016;*Thriller*;Sandeep Kumar;*Tanvi Arora,Sonia Bajwa,Aaryan Chopra*;;
Aakraman;1975;*Drama, History, Romance*;J. Om Prakash;*Ashok Kumar,Sanjeev Kumar,Rakesh Roshan*;6.3;44
Aakrandan;2001;*Drama*;;*,,*;;
Aakrant;1988;*Drama*;Vinod Kumar;*Sadashiv Amrapurkar,C.S. Dubey,Kislaya*;;
Aakrosh;1980;*Crime, Drama, Music*;Govind Nihalani;*Naseeruddin Shah,Smita Patil,Amrish Puri*;7.9;887
Aakrosh;2010;*Action, Crime, Thriller*;Priyadarshan;*Ajay Devgn,Akshaye Khanna,Bipasha Basu*;7;"3;464"
Aakrosh: Cyclone of Anger;1998;*Action, Crime, Drama*;Lateef Binny;*Sunil Shetty,Shilpa Shetty Kundra,Girish Karnad*;4.6;93
Aalaap;2012;*Sci-Fi*;Manish Manikpuri;*Omkar Das Manikpuri,Pitobash,Amit Purohit*;5.4;26
Aalavandhan;2001;*Action, Thriller*;Suresh Krishna;*Kamal Haasan,Raveena Tandon,Manisha Koirala*;7.2;"2;192"
Aalha Udal;1962;*Drama, History*;Jaswant Jhaveri;*Master Bhagwan,Paidi Jairaj,Jeevan*;;
Aalwar;2007;*Action*;Chella;*Ajith Kumar,Asin Thottumkal,Vivek*;3;922
Aamaar Bhuvan;2018;*Drama, Family*;Mrinal Sen;*Saswata Chatterjee,Nandita Das,Koushik Sen*;7.7;72
Aamdani Atthanni Kharcha Rupaiya;2001;*Comedy, Drama, Family*;K. Raghavendra Rao;*A.S. Ravindra Babu,Govinda,Juhi Chawla*;4.8;"1;238"
Aamir;2008;*Action, Crime, Drama*;Raj Kumar Gupta;*Rajeev Khandelwal,Aishwarya,Vasan Bala*;7.7;"10;862"
Aamna Saamna;2013;*Animation*;Rajiv Chilaka;*Jigna Bhardwaj,Rajesh Kava,Sabina Malik*;;
Aamne - Saamne;1967;*Crime, Mystery, Romance*;Suraj Prakash;*Shashi Kapoor,Sharmila Tagore,Prem Chopra*;6.5;81
Aamne Samne;1982;*Action, Crime, Drama*;Ashim S. Samanta;*Mithun Chakraborty,Bindiya Goswami,Arti Gupta*;6.4;53
Aamras: The Sweet Taste of Friendship;2009;*Drama*;Rupali Guha;*Vega Tamotia,Ntasha Bhardwaj,Maanvi Gagroo*;5.8;60
Aamrityu;2018;*Drama*;Arup Manna;*,,*;;
Aan Aur Shaan;1984;*Drama*;Ravi Tandon;*Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor*;6.4;37
Aan Baan;1972;*Drama*;Prakash Mehra;*Rajendra Kumar,Rakhee Gulzar,Kumkum*;6.1;28
Aan Baan;1956;*Romance*;D.D. Kashyap;*Ajit,Nalini Jaywant,Mahipal*;2.8;5
Aan Milo Sajna;1970;*Drama, Musical, Romance*;Mukul Dutt;*Rajesh Khanna,Asha Parekh,Vinod Khanna*;6.4;211
Aan: Men at Work;2004;*Action, Crime, Drama*;Madhur Bhandarkar;*Akshay Kumar,Shatrughan Sinha,Sunil Shetty*;5.7;"2;907"
Aanch;2003;*Drama*;Rajesh Ram Singh;*Arun Bakshi,Suchindra Bali,Poonam Jhawer*;5.6;102
Aanchal;1980;*Action, Drama, Family*;Anil Ganguly;*Rajesh Khanna,Rakhee Gulzar,Rekha*;6.4;58
Aanchal;1960;*Drama, Family*;Vasant Joglekar;*Ashok Kumar,Nirupa Roy,Nanda*;4.9;8
Aanchal Ke Phool;1968;*Drama*;Karunesh Thakur;*Sajjan,Kamini Kaushal,Dev Dutt*;5.7;6
Aandha Intaquam;1993;*Action*;Swaroop Kumar;*Shanti Priya,Ronit Roy,Tapasya*;;
Aandhi;1975;*Drama, Romance*;Gulzar;*Suchitra Sen,Sanjeev Kumar,Om Shivpuri*;8.1;"1;406"
Aandhi;1948;*Drama*;T.R. Sundaram;*,,*;;
Aandhi Aur Toofan;1964;*Action, Adventure, Romance*;Mohammed Hussain;*Dara Singh,Mumtaz,Kamran*;6;8
Aandhi-Toofan;1985;*Drama*;Babbar Subhash;*Shashi Kapoor,Hema Malini,Danny Denzongpa*;6.1;49
Aandhiyan;1952;*Drama*;Chetan Anand;*Dev Anand,Nimmi,Kalpana Kartik*;7.4;30
Aandhiyan;1990;*Drama*;David Dhawan;*Mumtaz,Prasenjit Chatterjee,Madhushree*;4.8;38
Aangan;1959;*Music, Romance*;O.P. Dutta;*Agha,Ameeta,Rehman*;6.6;31
Aangan;1973;*Drama, Family*;Nasir Hussain;*Farida Jalal,Ashim Kumar,Leela Mishra*;;
Aangan Ki Kali;1979;*Drama, Family*;Harsh Kohli;*Rakesh Roshan,Lakshmi,Prema Narayan*;5.6;5
Aani Maani;2019;*Drama*;Fahim Irshad;*Farrukh Seyer,Priyanka Verma,Neha Singh*;6.6;15
Aankh Ka Nasha;1933;**;J.J. Madan;*Khurshid Begum,Mukhtar Begum,Jehanara Kajjan*;;
Aankh Ki Sharm;1943;**;Balwant Bhatt;*Prithviraj Kapoor,Trilok Kapoor,Kaushalya*;;
Aankh Micholi;1972;*Family*;Ramanna;*Rakesh Roshan,Bharti,Om Prakash*;6;6
Aankh Micholi;2021;*Comedy, Family*;Umesh Shukla;*Paresh Rawal,Sharman Joshi,Abhimanyu Dasani*;;
Aankh Michouli;1942;**;R.S. Choudhury;*Nalini Jaywant,,*;;
Aankhein: The Third Eye;2004;*Action*;Nassar;*Sada,Srikanth,*;7.4;15
Aankhen;1993;*Action, Comedy, Crime*;David Dhawan;*Govinda,Chunky Panday,Raj Babbar*;6.7;"1;898"
Aankhen;1950;*Drama, Family*;Devendra Goel;*Shekhar,Bharat Bhushan,Nalini Jaywant*;7.2;6
Aankhen;2002;*Crime, Drama, Thriller*;Vipul Amrutlal Shah;*Amitabh Bachchan,Akshay Kumar,Sushmita Sen*;7.4;"12;574"
Aankhen 2;2021;*Thriller*;Abhinay Deo;*Amitabh Bachchan,Sidharth Malhotra,*;;
Aankhin Dekhi;1978;*Drama*;Rajinder Singh Bedi;*Suresh Bhagwat,Bhanumati,Bipin Gupta*;;
Aankhon Aankhon Mein;1972;*Drama, Romance*;Raghunath Jhalani;*Rakhee Gulzar,Rakesh Roshan,Achala Sachdev*;6.4;28
Aankhon Mein Sapne Liye;2005;*Romance*;Nilu Gavankar;*Usha Bachani,Janina Gavankar,Cleo Isaacs*;;
Aansoo;1953;*Drama*;Shanti Kumar;*Kamini Kaushal,Kumkum,Madan Mohan*;;
Aansoo Aur Muskan;1970;*Comedy, Drama, Family*;P. Madhavan;*Hema Malini,Parikshit Sahni,Jagdeep*;6.5;24
Aansuon Ki Duniya;1936;**;Anand Prasad Kapoor;*Anwari,Sarla,Surendra*;;
Aantiya;1993;*Drama*;Hiren Goswani;*Dixita,Anant Galvi,Raj Goswami*;;
Aao Baby Pyar Karen;1983;*Romance*;;*,,*;;
Aao Hum Saath Chalein;2003;*Romance*;;*,,*;;
Aao Jao Ghar Tumhara;1984;*Drama*;Murlidhar Kapdi;*Agha,Birbal,Chandrashekhar*;;
Aao Khelein Gilli Danda;2021;*Drama*;Faheem Chaudhry;*Sonal Jha,Omkar Das Manikpuri,Rajesh Jais*;;
Aao Milkar Gaen;1964;*Documentary*;Pramod Pati;*,,*;;
Aao Pyaar Karen;1964;*Drama, Romance*;R.K. Nayyar;*Joy Mukherjee,Saira Banu,Sanjeev Kumar*;6.2;15
Aao Pyaar Karen;1983;*Drama*;Prakash Verma;*Anita Advani,Radhika Bartake,Benjamin Gilani*;;
Aao Pyaar Karen;1994;*Romance*;Ravindra Peepat;*Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali*;4.2;160
Aao Wish Karein;2009;*Comedy, Family, Fantasy*;Glen Barreto;*Aftab Shivdasani,Aamna Sharif,Rati Agnihotri*;5.1;584
Aap Aye Bahaar Ayee;1971;*Comedy, Drama, Romance*;Mohan Kumar;*Rajendra Kumar,Sadhana,Prem Chopra*;6.6;80
Aap Beati;1976;*Drama, Family*;Mohan Kumar;*Shashi Kapoor,Hema Malini,Ashok Kumar*;5.7;32
Aap Beeti;1948;*Drama*;Kumar;*Agha,Ajit,Khurshid Begum*;;
Aap Jaisa Koi;2003;*Musical*;Ruslaan Mumtaz;*,,*;;
Aap Ka Pyar;1988;*Romance*;Baby Bulbul;*Devesh,Jiteshwari,Ritu Khanna*;;
Aap Ke Deewane;1980;*Romance*;Surendra Mohan;*Jeetendra,Rishi Kapoor,Tina Ambani*;5.8;204
Aap Ke Saath;1986;*Drama*;J. Om Prakash;*Smita Patil,Anil Kapoor,Rati Agnihotri*;5.7;49
Aap Ki Kasam;1974;*Romance, Drama*;J. Om Prakash;*Rajesh Khanna,Mumtaz,Sanjeev Kumar*;7;420
Aap Ki Khatir;1977;*Action, Comedy, Drama*;Sudhendu Roy;*Vinod Khanna,Rekha,Nadira*;6.3;27
Aap Ki Khatir;2006;*Comedy, Romance*;Dharmesh Darshan;*Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel*;3.6;863
Aap Ki Marzi;1939;**;Sarvottam Badami;*Khurshid Begum,Sabita Devi,Sunalini Devi*;;
Aap Ki Parchhaiyan;1964;*Drama, Family, Romance*;Mohan Kumar;*Dharmendra,Supriya Choudhury,Vijayalaxmi*;6.3;39
Aap Ki Sewa Mein;1946;**;Vasant Joglekar;*Nimbalkar,,*;;
Aap Mujhe Achche Lagne Lage;2002;*Action, Drama, Romance*;Vikram Bhatt;*Hrithik Roshan,Ameesha Patel,Kiran Kumar*;3.1;"2;366"
Aap Se Pyar Hain;1994;*Romance*;Ayush;*,,*;;
Aap Se Pyar Hua;1978;*Romance*;P. Sharma;*Rita Anchan,Satish Kaul,Sona*;;
Aap To Aise Na The;1980;*Romance, Drama, Family*;Ambrish Sangal;*Raj Babbar,Ranjeeta Kaur,Deepak Parashar*;5.6;38
Aapa Akka;2009;*Drama*;Mandakini Mathur;*Sohail Mokashi,Satyajit Kadam,*;6;10
Aapas Ki Baat;1981;*Action, Romance*;Harmesh Malhotra;*Poonam Dhillon,Raj Babbar,Shakti Kapoor*;5.2;17
Aapko Pehle Bhi Kahin Dekha Hai;2003;*Action, Comedy, Drama*;Anubhav Sinha;*Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal*;4.5;273
Aaplee Maanse;1992;*Drama*;Sanjay Soorkar;*Prashant Damle,Mohan Joshi,Sudhir Joshi*;6.4;12
Aar Paar;1985;*Action*;Shakti Samanta;*Mithun Chakraborty,Rozina,Utpal Dutt*;6.1;44
Aar Paar: The Judgement;2004;*Action*;Genelia D'Souza;*Nitin Kumar,Pradeep Singh Rawat,*;;
Aar Ya Paar;1997;*Thriller*;Ketan Mehta;*Jackie Shroff,Deepa Sahi,Ritu Shivpuri*;6.1;230
Aarakshan;2011;*Drama, Thriller*;Prakash Jha;*Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee*;6.2;"5;170"
Aaram;1951;*Romance*;D.D. Kashyap;*Dev Anand,Madhubala,Talat Mahmood*;6.8;40
Aarambh;1976;*Drama*;Gyan Kumar;*Saira Banu,Kishore Namit Kapoor,Ravi Kumar*;;
Aaravalli;1957;*Horror*;Varalakshmi G.;*,,*;5.9;7
Aarilirunthu Arubadhuvarai;1979;*Drama*;S.P. Muthuraman;*,,*;;
Aarohi;1982;*Romance*;Kishore Kapoor;*Vipin Kapoor,Rakesh Pandey,Rama Vij*;;
