name;year;genre;director;cast;rating;votes
Aadhi Roti;1957;*Drama*;Chandrakant;*Prem Adib,Master Bhagwan,Daisy Irani*;;
Aadhi Zindagi Aadhi Maut;1986;*Thriller*;V. Menon;*Aparajita,Abhi Bhattacharya,Sargam*;;
Aadi Shakti;1992;*Action*;Govind Singh;*Raza Murad,Yunus Parvez,*;;
Aadmi;1968;*Drama, Romance*;A. Bhimsingh;*Dilip Kumar,Waheeda Rehman,Manoj Kumar*;6.8;196
Aadmi;1993;*Action, Crime, Drama*;Arshad Khan;*Ajit,Vikas Anand,Arjun*;6.5;97
Aadmi Aur Apsara;1991;*Fantasy*;J. Om Prakash;*K. Raghavendra Rao,Chiranjeevi,Amrish Puri*;6.7;66
Aadmi Aur Aurat;2001;*Thriller*;Alka Kubal;*Raza Murad,Ramanna,*;;
Aadmi Aur Insaan;1969;*Drama, Romance, Thriller*;Yash Chopra;*Dharmendra,Saira Banu,Feroz Khan*;6.2;149
Aadmi Khilona Hai;1993;*Drama, Romance*;J. Om Prakash;*Jeetendra,Reena Roy,Govinda*;5;142
Aadmi Ki Aurat Aur Anya Kahaniya;2009;*Drama*;Amit Dutta;*Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi*;7.6;62
Aadmi Sadak Ka;1977;*Drama, Family*;Devendra Goel;*Shatrughan Sinha,Vikram Makandar,Zaheera*;5.4;34
Aadupuliyattam;2016;*Horror*;Kannan Thamarakkulam;*Jayaram,Ramya Krishnan,Om Puri*;4.2;266
Aafat;1977;*Crime, Drama*;Atma Ram;*Navin Nischol,Leena Chandavarkar,Jayshree T.*;5.3;17
Aafat-e-Ishq;2021;*Comedy, Thriller*;Indrajit Nattoji;*Amit Sial,Neha Sharma,Garima Jain*;;
Aafreen;2021;*Romance*;Manjeet Rai;*Chitransh Raaj,Prishita Tiwari,Sapna Shetty*;;
Aag;1948;*Musical, Romance*;Raj Kapoor;*Nargis,Kamini Kaushal,Nigar Sultana*;7.4;357
